date_received,sender,preprocessed_text,carrier,label
2025-05-30 19:00:12,+6393064***97,hi gcash account temporarily disable update gcash account confirm account gcashaccountfix online thank choose,Smart,spam
2025-05-17 14:19:03,+6393917***20,sit tulong kita p ld basta bahala sa akin kapag nal bigay kita na easyw na laro p ldo agad add msg moko msngr cleia dapon naka red backless dress profile pic,Smart,spam
2025-05-17 15:17:36,+6393917***20,nakapagmessage po ba message mo po guide kita panalo masecure winning slot chance kapa kuha laki na amount ngayon na araw,Smart,spam
2024-12-06 19:42:10,+6393067***41,gjckpotna lat day christmas gojackpot reward deposit bonus friday bonus not miss win chance,Smart,spam
2024-11-13 20:28:35,+6397049***83,catch midweek wave fortune x multiplier slotgame grab chance win p vlvo v pro g gjakpt email,Smart,spam
2024-11-13 16:58:27,+6396155***13,hi po,Smart,spam
2024-10-13 17:21:25,+6396383***95,w plsmega help celebrate family time sunday claim p bonus share achievement facebook extra p win p m,Smart,spam
2024-09-16 10:27:37,+6396124***17,hi po,Smart,spam
2024-09-08 09:17:03,+6391947***61,swerte guro ikaw na gagabay makipag ugnay kay telegram,Smart,spam
2024-08-21 21:11:38,+6390852***66,utos telepono gana kita kita araw araw telegram niy,Smart,spam
2024-08-21 20:23:37,+6395119***03,luck call claim p gjp ph gojpplay golf,Smart,spam
2024-07-19 15:40:29,+6396158***86,congratulation redeem p g cash support claim g gift pt d thank choose gcash online,Smart,spam
2024-06-28 04:50:38,+6393018***65,tanggap number p mag register gamit number laro halaga na p upang kuha cxbz de,Smart,spam
2024-06-27 22:56:02,+6390792***40,ready thrill gjp ph s t g f event tomorrow bag p p bet tournament oppo reno pro tourna gojpwheel de,Smart,spam
2024-06-27 19:53:46,+6395180***47,handa ba na enjoy mag avail welcome bonus live casino bonus pesos epcwnplays de,Smart,spam
2024-06-27 14:07:43,+6394675***82,nalagay number p sali gamit number lagay p upang kuha hnvb uk,Smart,spam
2024-06-27 13:03:36,+6395190***39,k jackp t naman hintay mo mag reg ster mag claim p free baka sunod ma swerte odqzz eu,Smart,spam
2024-06-27 11:14:54,+6394602***46,mag sign up kuha librengspins premium recharge sali link kuha nang libre hnvb uk,Smart,spam
2024-06-27 10:19:27,+6395162***88,embrace win plus win oppo reno pro g gb worth p enjoy daily bonus visit wplustar de register,Smart,spam
2024-06-27 09:23:39,+6395137***19,nalagay number p sali gamit number lagay p upang kuha cxbz de,Smart,spam
2024-06-26 15:24:58,+6393049***25,account verification need suspicious transaction kindly visit cut g ltegcash continue service,Smart,spam
2024-06-27 08:41:34,+6393049***25,gcash account verification need suspicious transaction kindly visit cut gcash g continue service,Smart,spam
2024-06-26 23:44:30,+6395172***01,talo pera tuwi na taya p panalo k bug sali ycx ew rt uk,Smart,spam
2024-06-26 17:03:50,+6395189***51,claim welcome b nus p award claim soon avoid expiry asace wang rbs,Smart,spam
2024-06-26 16:46:56,+6390738***65,claim p free enter slot tournament vivo v e gb prize sbetfortune eu,Smart,spam
2024-06-26 16:31:39,+6391021***80,pili tanggap p sali gamit number lagay p upang ma claim customer support sali pqrm uka,Smart,spam
2024-06-26 16:24:14,+6393049***98,gcash account verification need suspicious transaction kindly visit cut g ltegcash continue service,Smart,spam
2024-06-26 09:24:39,+6393002***58,gcash account verification need suspicious transaction kindly visit cut ltesgcash continue service,Smart,spam
2024-06-26 00:49:15,+6391021***68,p credit tanggap number valid within hrs magregister lagay p upang maclaim cs tfwz uk,Smart,spam
2024-06-25 12:04:41,+6391019***09,p credit tanggap number valid within hrs magregister lagay p upang maclaim cs mwjt uk,Smart,spam
2024-06-25 03:30:59,+6395190***93,win point exciting casino bet tournament new member receive bonus plus additional point join wplushuge de,Smart,spam
2024-06-24 23:59:37,+6396255***82,ph social security system sss total employer contribution benefit expire avoid termination sss benefit check link sssph mx,Smart,spam
2024-06-24 22:51:36,+6395168***80,number win p sign hnvb uk number add p cash customer support,Smart,spam
2024-06-24 17:10:20,+6395168***55,p tanggap number valid within hrs lagay p upang maclaim cs mwjt uk,Smart,spam
